Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch2,6-1-7a_line_9874_1,batch1,1-1-4b_line_9874_3,0.23668639053254437
batch2,6-1-7a_line_9874_1,batch1,1-1-4b_line_9874_1,0.25146198830409355
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_3,0.2129032258064516
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_1,0.24705882352941178
batch2,6-1-7a_line_9874_1,batch1,1-1-4a_line_9874_5,0.21153846153846154
batch2,6-1-7a_line_9874_1,batch1,1-1-4b_line_9874_0,0.2085889570552147
batch2,6-1-7a_line_9874_1,batch1,1-1-4b_line_9874_2,0.2677595628415301
batch2,6-1-7a_line_9874_5,batch2,6-1-6b_line_9874_5,0.2125
batch2,6-1-7a_line_9874_5,batch2,6-1-7a_line_9874_0,0.2893081761006289
batch2,6-1-7a_line_9874_5,batch2,6-1-7a_line_9874_1,0.18867924528301888
batch2,6-1-7a_line_9874_5,batch2,6-1-7a_line_9874_2,0.18518518518518517
batch2,6-1-7a_line_9874_5,batch2,6-1-6b_line_9874_4,0.22012578616352202
batch2,6-1-7a_line_9874_5,batch2,6-1-6b_line_9874_3,0.25157232704402516
batch2,6-1-7a_line_9874_5,batch2,6-1-7a_line_9874_4,0.20754716981132076
batch2,6-1-7a_line_9874_5,batch2,6-1-6b_line_9874_6,0.1949685534591195
batch2,6-1-7a_line_9874_5,batch2,6-1-7a_line_9874_3,0.18867924528301888
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_1,0.2641509433962264
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_4,0.23270440251572327
batch2,6-1-7a_line_9874_5,batch3,11-1-164a_line_9874_5,0.22012578616352202
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_2,0.24528301886792453
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_5,0.24528301886792453
batch2,6-1-7a_line_9874_5,batch3,11-1-164a_line_9874_6,0.25157232704402516
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_6,0.23270440251572327
batch2,6-1-7a_line_9874_5,batch3,11-1-165a_line_9874_0,0.23270440251572327
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_0,0.2578616352201258
batch2,6-1-7a_line_9874_5,batch3,11-1-164b_line_9874_3,0.2893081761006289
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_6,0.20125786163522014
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_2,0.27624309392265195
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_4,0.23636363636363636
batch2,6-1-7a_line_9874_5,batch1,1-1-4b_line_9874_3,0.2485207100591716
batch2,6-1-7a_line_9874_5,batch1,1-1-4b_line_9874_1,0.2573099415204678
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_3,0.22641509433962265
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_1,0.21764705882352942
batch2,6-1-7a_line_9874_5,batch1,1-1-4a_line_9874_5,0.20125786163522014
batch2,6-1-7a_line_9874_5,batch1,1-1-4b_line_9874_0,0.24539877300613497
batch2,6-1-7a_line_9874_5,batch1,1-1-4b_line_9874_2,0.26229508196721313
batch2,6-1-7a_line_9874_2,batch2,6-1-6b_line_9874_5,0.42592592592592593
batch2,6-1-7a_line_9874_2,batch2,6-1-7a_line_9874_0,0.3765432098765432
batch2,6-1-7a_line_9874_2,batch2,6-1-7a_line_9874_1,0.3950617283950617
batch2,6-1-7a_line_9874_2,batch2,6-1-7a_line_9874_5,0.18518518518518517
batch2,6-1-7a_line_9874_2,batch2,6-1-6b_line_9874_4,0.21604938271604937
batch2,6-1-7a_line_9874_2,batch2,6-1-6b_line_9874_3,0.25925925925925924
batch2,6-1-7a_line_9874_2,batch2,6-1-7a_line_9874_4,0.2222222222222222
batch2,6-1-7a_line_9874_2,batch2,6-1-6b_line_9874_6,0.22839506172839505
batch2,6-1-7a_line_9874_2,batch2,6-1-7a_line_9874_3,0.2222222222222222
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_1,0.2222222222222222
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_4,0.2654320987654321
batch2,6-1-7a_line_9874_2,batch3,11-1-164a_line_9874_5,0.24691358024691357
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_2,0.2839506172839506
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_5,0.24074074074074073
batch2,6-1-7a_line_9874_2,batch3,11-1-164a_line_9874_6,0.25925925925925924
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_6,0.22839506172839505
batch2,6-1-7a_line_9874_2,batch3,11-1-165a_line_9874_0,0.25308641975308643
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_0,0.2839506172839506
batch2,6-1-7a_line_9874_2,batch3,11-1-164b_line_9874_3,0.30246913580246915
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_6,0.2222222222222222
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_2,0.24861878453038674
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_4,0.23030303030303031
batch2,6-1-7a_line_9874_2,batch1,1-1-4b_line_9874_3,0.3076923076923077
batch2,6-1-7a_line_9874_2,batch1,1-1-4b_line_9874_1,0.2807017543859649
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_3,0.24074074074074073
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_1,0.25882352941176473
batch2,6-1-7a_line_9874_2,batch1,1-1-4a_line_9874_5,0.19135802469135801
batch2,6-1-7a_line_9874_2,batch1,1-1-4b_line_9874_0,0.19631901840490798
batch2,6-1-7a_line_9874_2,batch1,1-1-4b_line_9874_2,0.2677595628415301
batch2,6-1-6b_line_9874_4,batch2,6-1-6b_line_9874_5,0.21875
batch2,6-1-6b_line_9874_4,batch2,6-1-7a_line_9874_0,0.24528301886792453
